name,scholar_id,dewey_id,original_names,affiliation,email_domain,interests,citedby,url_picture
Vivian Graciela Chertian,3bis8a0AAAAJ,1467,,"English Department, Petra Christian University",@petra.ac.id,English language;discourse;media;representation;Chinese Indonesian studies,8,https://scholar.google.com/citations?view_op=medium_photo&user=3bis8a0AAAAJ
Vladimir Kabzar,,1468,,,,,,
Vyrna Santoso,,1469,,,,,,
W. Gunawan,,1470,,,,,,
Wagiman,,1471,,,,,,
Wajan Berata,,1472,,,,,,
Wana Sedayu,,1473,,,,,,
Wanda Chrisiana,,1474,,,,,,
Wanda K,,1475,,,,,,
Wanda K Widigdo C,CvpyWrMAAAAJ,1476,,Petra Christian University,@petra.ac.id,architectur;eco-architecture;environment;sustainable architecture,129,https://scholar.google.com/citations?view_op=medium_photo&user=CvpyWrMAAAAJ
Wanda Widigdo Canadarma,,1477,,,,,,
Wang Miaoyuan,,1478,,,,,,
Wang Qiang,,1479,,,,,,
Wang Sutrisno,,1480,,,,,,
Waryo Yuliono,,1481,,,,,,
Wasis Sastroredjo,,1482,,,,,,
Wasis Soebarniati,,1483,,,,,,
Wibowo,,1484,,,,,,
Wibowo Gunawan,,1485,,,,,,
Widartoyo,,1486,,,,,,
Widi Hidayat,,1487,,,,,,
Widijanti,,1488,,,,,,
Widjojo Suprapto,mt1jeD0AAAAJ,1489,,"Lecturer of Business Management, Petra Christian University",@petra.ac.id,strategic management;family business;hospitality and tourism;supply chain management,483,https://scholar.google.com/citations?view_op=medium_photo&user=mt1jeD0AAAAJ
Widyanti T,,1490,,,,,,
Widyanti Wibowo,,1491,,,,,,
Wiet S. Moniaga,,1492,,,,,,
Wijono Liman,,1493,,,,,,
Wilhelmina Darmirah,,1494,,,,,,
William Limadjaja,,1495,,,,,,
William Limandjaja,,1496,,,,,,
William Sutanto,,1497,,,,,,
William Vijadhammo L,,1498,,,,,,
Willy Husada,qwMqHqMAAAAJ,1499,,"Lecturer of Civil Engineering, Petra Christian University",@petra.ac.id,Artificial Intelligence;Data Mining;Construction Management;Civil Engineering;Reliability,7,https://scholar.google.com/citations?view_op=medium_photo&user=qwMqHqMAAAAJ
Willyam Jonathan,,1500,,,,,,
Willyanto,,1501,,,,,,
Willyanto Anggono,bko20fsAAAAJ,1502,,Petra Christian University,@petra.ac.id,Mechanical engineering;sustainable energy;combustion,719,https://scholar.google.com/citations?view_op=medium_photo&user=bko20fsAAAAJ
Wilma Laura Sahetapy,,1503,,,,,,
Wilson Hendrata,,1504,,,,,,
Winai Wongsurawat,,1505,,,,,,
Winner Juhara,,1506,,,,,,
Wirenohadi Soeprapto,,1507,,,,,,
Wolly Baktiono,,1508,,,,,,
Wong Foek Tjong,anHPSV0AAAAJ,1509,,"Associate Professor of Civil Engineering, Petra Christian University, Indonesia",@petra.ac.id,finite element methods;mesh-free methods;computational solid mechanics;plates and shells,324,https://scholar.google.com/citations?view_op=medium_photo&user=anHPSV0AAAAJ
Xie Luyan,,1510,,,,,,
Xu Wu,,1511,,,,,,
Y. T. Teddy Susanto,,1512,,,,,,
Y. T.Teddy Susanto,,1513,,,,,,
Ya Ching Chou,,1514,,,,,,
Yacintha Yoranouw Suryawijaya,,1515,,,,,,
Yan Pieter Chandra,,1516,,,,,,
Yanuar Santosa,,1517,,,,,,
Yawan Kristianto,,1518,,,,,,
Yedong Tu,,1519,,,,,,
Yeheskiel M. Tiranda,,1520,,,,,,
Yehezkiel Tiranda,,1521,,,,,,
Yekti Herlina,,1522,,,,,,
Yen Yen Liu,,1523,,,,,,
Yenni Mangoting,,1524,,,,,,
Yenny Tandiono,,1525,,,,,,
Yeremia Tulude Ambat,UWeeJPIAAAAJ,1526,,Petra Christian University,@petra.ac.id,Communication Science;Cultural Studies,3,https://scholar.google.com/citations?view_op=medium_photo&user=UWeeJPIAAAAJ
Yeun Wing Wu,,1527,,,,,,
Yifeng Wang,,1528,,,,,,
Yikai Wu,,1529,,,,,,
Yivan Zhou,,1530,,,,,,
Yoel Wibowo,kKmqB3sAAAAJ,1531,,Petra Christian University,@petra.ac.id,organization;leadership;education,33,https://scholar.google.com/citations?view_op=medium_photo&user=kKmqB3sAAAAJ
Yohan Gunawan Henuk,,1532,,,,,,
Yohan Santoso,,1533,,,,,,
Yohana Kartika Putri,,1534,,,,,,
Yohanes Andrian,,1535,,,,,,
Yohanes Kurniawan,,1536,,,,,,
Yohanes Moeljadi Pranata,,1537,,,,,,
Yohanes Sondang Kunto,SlpM3-wAAAAJ,1538,,Petra Christian University,@petra.ac.id,Applied Econometrics;Food Consumption;Consumer Behaviour,290,https://scholar.google.com/citations?view_op=medium_photo&user=SlpM3-wAAAAJ
Yohanes Stephanus,,1539,,,,,,
Yohanes T. D. S,,1540,,,,,,
Yohanes Trilaksono Dibyo S,,1541,,,,,,
Yohnson,,1542,,,,,,
