name,scholar_id,affiliation,email_domain,interests,citedby,url_picture
Roche Alimin,eWb4hs0AAAAJ,"Lecturer of Mechanical Engineering, Petra Christian University",@petra.ac.id,robotic,58,https://scholar.google.com/citations?view_op=medium_photo&user=eWb4hs0AAAAJ
Sany SE MSCIS Ph.D.,e10aeusAAAAJ,Petra Christian University,@petra.ac.id,management accounting,56,https://scholar.google.com/citations?view_op=medium_photo&user=e10aeusAAAAJ
Herwindy Maria Tedjaatmadja,U9CAW70AAAAJ,"English Department, Petra Christian University",@petra.ac.id,Education;Language Teaching,50,https://scholar.google.com/citations?view_op=medium_photo&user=U9CAW70AAAAJ
Inggrid,56SC1wIAAAAJ,Petra Christian University,@petra.ac.id,Labor Economics;Impact Evaluation;Development Economics,49,https://scholar.google.com/citations?view_op=medium_photo&user=56SC1wIAAAAJ
"Aris Budhiyanto ST, M.Sc., Ph.D.",_jcTAasAAAAJ,Petra Christian University,@petra.ac.id,building science;sustainable architecture;building simulation;green architecture,48,https://scholar.google.com/citations?view_op=medium_photo&user=_jcTAasAAAAJ
Bramasta Putra Redyantanu,3yEeFKYAAAAJ,Petra Christian University,@petra.ac.id,architectural design,47,https://scholar.google.com/citations?view_op=medium_photo&user=3yEeFKYAAAAJ
Devi Destiani Andilas,7qe_Se4AAAAJ,"Program Creative Tourism, Petra Christian University",@petra.ac.id,Hospitality & Tourism Management,46,https://scholar.google.com/citations?view_op=medium_photo&user=7qe_Se4AAAAJ
Stephanus Wirawan Dharmatanna,gKsVLK4AAAAJ,Lecturer Petra Christian University,@petra.ac.id,Energy Efficiency;Kinetic Facade;Building Information Modeling;Critical Regionalism,44,https://scholar.google.com/citations?view_op=medium_photo&user=gKsVLK4AAAAJ
Eunike Kristi Julistiono,kz8wdRgAAAAJ,Petra Christian University,@petra.ac.id,architecture;sustainable architecture;architectural structure;vertical building structure,43,https://scholar.google.com/citations?view_op=medium_photo&user=kz8wdRgAAAAJ
Karina Agustin,d31d0R4AAAAJ,"Lecturer of Industrial Engineering, Petra Christian University",@petra.ac.id,data mining,40,https://scholar.google.com/citations?view_op=medium_photo&user=d31d0R4AAAAJ
Yuli Christiana Yoedo,1W5gsOoAAAAJ,Petra Christian University,@peter.petra.ac.id,Teaching English to Young Learners,39,https://scholar.google.com/citations?view_op=medium_photo&user=1W5gsOoAAAAJ
Nani Indrajani Tjitrakusuma,GABn1IUAAAAJ,"English lecturer, Petra Christian University",@petra.ac.id,language skills and applied linguistics,39,https://scholar.google.com/citations?view_op=medium_photo&user=GABn1IUAAAAJ
Adhityawati Kusumawardhani,uDexHokAAAAJ,Petra Christian University,@petra.ac.id,,37,https://scholar.google.com/citations?view_op=medium_photo&user=uDexHokAAAAJ
Ruth Srininta Tarigan,IBVUnYEAAAAJ,Petra Christian University,@petra.ac.id,Information System;Economics,34,https://scholar.google.com/citations?view_op=medium_photo&user=IBVUnYEAAAAJ
Ridhotama Shanti Darsih Ottemoesoe,PpEocSIAAAAJ,Lecturer at Petra Christian University,@petra.ac.id,Regional banking;Financial Economics,34,https://scholar.google.com/citations?view_op=medium_photo&user=PpEocSIAAAAJ
Yoel Wibowo,kKmqB3sAAAAJ,Petra Christian University,@petra.ac.id,organization;leadership;education,34,https://scholar.google.com/citations?view_op=medium_photo&user=kKmqB3sAAAAJ
Lily Eka Sari,mW_kMUAAAAAJ,Petra Christian University,@petra.ac.id,Special Education;Educational Psychology;Early Childhood Education;Neuropsychology,33,https://scholar.google.com/citations?view_op=medium_photo&user=mW_kMUAAAAAJ
Henny Putri Saking Wijaya,k925b70AAAAJ,Petra Christian University,@petra.ac.id,second language writing;material development,32,https://scholar.google.com/citations?view_op=medium_photo&user=k925b70AAAAJ
Franky Boentolo,978U-DUAAAAJ,Petra Christian University,@petra.ac.id,Science and Faith Integration;Book of Revelation,30,https://scholar.google.com/citations?view_op=medium_photo&user=978U-DUAAAAJ
